Year,Age,Cohort,ASFR
1992,13,1979,0.00093
1992,13,1978,0.00132
1992,14,1978,0.00444
1992,14,1977,0.00717
1992,15,1977,0.0151
1992,15,1976,0.02083
1992,16,1976,0.03615
1992,16,1975,0.04523
1992,17,1975,0.06393
1992,17,1974,0.07281
1992,18,1974,0.08615
1992,18,1973,0.09267
1992,19,1973,0.1061
1992,19,1972,0.11174
1992,20,1972,0.12134
1992,20,1971,0.12487
1992,21,1971,0.12923
1992,21,1970,0.13075
1992,22,1970,0.13225
1992,22,1969,0.13321
1992,23,1969,0.13573
1992,23,1968,0.13687
1992,24,1968,0.13973
1992,24,1967,0.13977
1992,25,1967,0.13659
1992,25,1966,0.13633
1992,26,1966,0.13833
1992,26,1965,0.13814
1992,27,1965,0.13572
1992,27,1964,0.13478
1992,28,1964,0.13363
1992,28,1963,0.13126
1992,29,1963,0.12236
1992,29,1962,0.12061
1992,30,1962,0.12269
1992,30,1961,0.1195
1992,31,1961,0.10547
1992,31,1960,0.10264
1992,32,1960,0.10426
1992,32,1959,0.10015
1992,33,1959,0.08404
1992,33,1958,0.08073
1992,34,1958,0.08026
1992,34,1957,0.07837
1992,35,1957,0.07286
1992,35,1956,0.07005
1992,36,1956,0.06392
1992,36,1955,0.06124
1992,37,1955,0.05631
1992,37,1954,0.05371
1992,38,1954,0.04869
1992,38,1953,0.04524
1992,39,1953,0.03716
1992,39,1952,0.0342
1992,40,1952,0.02978
1992,40,1951,0.02655
1992,41,1951,0.01917
1992,41,1950,0.01751
1992,42,1950,0.01676
1992,42,1949,0.0141
1992,43,1949,0.00786
1992,43,1948,0.00657
1992,44,1948,0.00528
1992,44,1947,0.00444
1992,45,1947,0.00293
1992,45,1946,0.00237
1992,46,1946,0.00153
1992,46,1945,0.00121
1992,47,1945,0.00071
1992,47,1944,0.00059
1992,48,1944,0.00046
1992,48,1943,0.0004
1992,49,1943,0.00029
1992,49,1942,0.00024
1992,50,1942,0.00018
1992,50,1941,0.00013
1992,51,1941,0.00004
1992,51,1940,0.00004
1992,52,1940,0.00012
1992,52,1939,0.0001
1992,53,1939,0.00002
1992,53,1938,0.00001
1992,54,1938,0
1992,54,1937,0
1992,55+,.,0.00021
1993,-12,.,0.00016
1993,13,1980,0.00098
1993,13,1979,0.00154
1993,14,1979,0.00487
1993,14,1978,0.00768
1993,15,1978,0.01621
1993,15,1977,0.02217
1993,16,1977,0.03736
1993,16,1976,0.04609
1993,17,1976,0.06376
1993,17,1975,0.07245
1993,18,1975,0.08756
1993,18,1974,0.09423
1993,19,1974,0.10492
1993,19,1973,0.10997
1993,20,1973,0.12067
1993,20,1972,0.12406
1993,21,1972,0.12674
1993,21,1971,0.12774
1993,22,1971,0.12846
1993,22,1970,0.12961
1993,23,1970,0.13458
1993,23,1969,0.13511
1993,24,1969,0.13227
1993,24,1968,0.13173
1993,25,1968,0.13169
1993,25,1967,0.13186
1993,26,1967,0.13304
1993,26,1966,0.13285
1993,27,1966,0.13113
1993,27,1965,0.13005
1993,28,1965,0.12751
1993,28,1964,0.12531
1993,29,1964,0.11825
1993,29,1963,0.11695
1993,30,1963,0.11958
1993,30,1962,0.11624
1993,31,1962,0.10114
1993,31,1961,0.09818
1993,32,1961,0.09908
1993,32,1960,0.09676
1993,33,1960,0.08879
1993,33,1959,0.08474
1993,34,1959,0.0752
1993,34,1958,0.07289
1993,35,1958,0.07211
1993,35,1957,0.07006
1993,36,1957,0.06391
1993,36,1956,0.06096
1993,37,1956,0.05501
1993,37,1955,0.05185
1993,38,1955,0.04536
1993,38,1954,0.04221
1993,39,1954,0.03572
1993,39,1953,0.03351
1993,40,1953,0.03086
1993,40,1952,0.02756
1993,41,1952,0.01934
1993,41,1951,0.01719
1993,42,1951,0.0147
1993,42,1950,0.01294
1993,43,1950,0.00951
1993,43,1949,0.00797
1993,44,1949,0.0053
1993,44,1948,0.00439
1993,45,1948,0.00308
1993,45,1947,0.00251
1993,46,1947,0.00163
1993,46,1946,0.00125
1993,47,1946,0.00065
1993,47,1945,0.00052
1993,48,1945,0.00036
