Year,Age,Cohort,ASFR
1916,13,1903,0
1916,13,1902,0
1916,14,1902,0.00003
1916,14,1901,0.00007
1916,15,1901,0.0004
1916,15,1900,0.00086
1916,16,1900,0.00386
1916,16,1899,0.00677
1916,17,1899,0.0128
1916,17,1898,0.01688
1916,18,1898,0.02869
1916,18,1897,0.0361
1916,19,1897,0.05595
1916,19,1896,0.0661
1916,20,1896,0.08146
1916,20,1895,0.08981
1916,21,1895,0.10888
1916,21,1894,0.11703
1916,22,1894,0.12895
1916,22,1893,0.13543
1916,23,1893,0.15076
1916,23,1892,0.15562
1916,24,1892,0.15781
1916,24,1891,0.16134
1916,25,1891,0.17484
1916,25,1890,0.178
1916,26,1890,0.17736
1916,26,1889,0.17683
1916,27,1889,0.1735
1916,27,1888,0.17371
1916,28,1888,0.17883
1916,28,1887,0.17866
1916,29,1887,0.17288
1916,29,1886,0.17204
1916,30,1886,0.17581
1916,30,1885,0.17122
1916,31,1885,0.14878
1916,31,1884,0.14588
1916,32,1884,0.15404
1916,32,1883,0.15308
1916,33,1883,0.14325
1916,33,1882,0.14075
1916,34,1882,0.13905
1916,34,1881,0.13641
1916,35,1881,0.1281
1916,35,1880,0.12506
1916,36,1880,0.12032
1916,36,1879,0.11746
1916,37,1879,0.11073
1916,37,1878,0.10797
1916,38,1878,0.10352
1916,38,1877,0.0997
1916,39,1877,0.08994
1916,39,1876,0.08485
1916,40,1876,0.07353
1916,40,1875,0.06965
1916,41,1875,0.06378
1916,41,1874,0.06034
1916,42,1874,0.05351
1916,42,1873,0.04803
1916,43,1873,0.03531
1916,43,1872,0.03133
1916,44,1872,0.02547
1916,44,1871,0.0217
1916,45,1871,0.01453
1916,45,1870,0.01157
1916,46,1870,0.00697
1916,46,1869,0.00515
1916,47,1869,0.00251
1916,47,1868,0.00196
1916,48,1868,0.00144
1916,48,1867,0.00072
1916,49,1867,0
1916,49,1866,0
1916,50,1866,0.00013
1916,50,1865,0.00015
1916,51,1865,0.00009
1916,51,1864,0.00005
1916,52,1864,0
1916,52,1863,0
1916,53,1863,0
1916,53,1862,0
1916,54,1862,0.00011
1916,54,1861,0.00005
1916,55+,.,0
1917,-12,.,0
1917,13,1904,0
1917,13,1903,0.00001
1917,14,1903,0.00005
1917,14,1902,0.00011
1917,15,1902,0.00053
1917,15,1901,0.00101
1917,16,1901,0.00296
1917,16,1900,0.00478
1917,17,1900,0.01203
1917,17,1899,0.01729
1917,18,1899,0.02865
1917,18,1898,0.03552
1917,19,1898,0.05078
1917,19,1897,0.05952
1917,20,1897,0.0807
1917,20,1896,0.09079
1917,21,1896,0.10717
1917,21,1895,0.11462
1917,22,1895,0.1266
1917,22,1894,0.13294
1917,23,1894,0.14758
1917,23,1893,0.1531
1917,24,1893,0.16026
1917,24,1892,0.16314
1917,25,1892,0.16675
1917,25,1891,0.16865
1917,26,1891,0.17311
1917,26,1890,0.17402
1917,27,1890,0.17378
1917,27,1889,0.17237
1917,28,1889,0.16593
1917,28,1888,0.16486
1917,29,1888,0.16701
1917,29,1887,0.16623
1917,30,1887,0.16188
1917,30,1886,0.15952
1917,31,1886,0.15369
1917,31,1885,0.15142
1917,32,1885,0.14796
1917,32,1884,0.14564
1917,33,1884,0.14036
1917,33,1883,0.13665
1917,34,1883,0.12604
1917,34,1882,0.12407
1917,35,1882,0.12622
1917,35,1881,0.12428
1917,36,1881,0.116
1917,36,1880,0.11224
1917,37,1880,0.10404
1917,37,1879,0.10116
1917,38,1879,0.09754
1917,38,1878,0.0939
1917,39,1878,0.08358
1917,39,1877,0.08006
1917,40,1877,0.07537
1917,40,1876,0.07074
1917,41,1876,0.05872
1917,41,1875,0.05405
1917,42,1875,0.04572
1917,42,1874,0.04201
1917,43,1874,0.03529
1917,43,1873,0.03142
1917,44,1873,0.02393
1917,44,1872,0.01986
1917,45,1872,0.01218
1917,45,1871,0.01024
1917,46,1871,0.00801
1917,46,1870,0.00571
