Year,Age,Cohort,ASFR
1946,13,1933,0.00001
1946,13,1932,0
1946,14,1932,0.00006
1946,14,1931,0.00032
1946,15,1931,0.00094
1946,15,1930,0.002
1946,16,1930,0.00501
1946,16,1929,0.00843
1946,17,1929,0.0161
1946,17,1928,0.02308
1946,18,1928,0.0378
1946,18,1927,0.04691
1946,19,1927,0.06694
1946,19,1926,0.07685
1946,20,1926,0.10047
1946,20,1925,0.10685
1946,21,1925,0.13153
1946,21,1924,0.13219
1946,22,1924,0.16027
1946,22,1923,0.15267
1946,23,1923,0.17419
1946,23,1922,0.16735
1946,24,1922,0.18921
1946,24,1921,0.18444
1946,25,1921,0.18761
1946,25,1920,0.199
1946,26,1920,0.1897
1946,26,1919,0.20409
1946,27,1919,0.17273
1946,27,1918,0.18878
1946,28,1918,0.1758
1946,28,1917,0.17879
1946,29,1917,0.1678
1946,29,1916,0.17304
1946,30,1916,0.15742
1946,30,1915,0.16752
1946,31,1915,0.14739
1946,31,1914,0.1561
1946,32,1914,0.13536
1946,32,1913,0.1436
1946,33,1913,0.12531
1946,33,1912,0.12987
1946,34,1912,0.11297
1946,34,1911,0.11516
1946,35,1911,0.09904
1946,35,1910,0.10161
1946,36,1910,0.08948
1946,36,1909,0.08665
1946,37,1909,0.07512
1946,37,1908,0.0726
1946,38,1908,0.0623
1946,38,1907,0.0612
1946,39,1907,0.05155
1946,39,1906,0.05028
1946,40,1906,0.0412
1946,40,1905,0.03832
1946,41,1905,0.03066
1946,41,1904,0.02824
1946,42,1904,0.02146
1946,42,1903,0.019
1946,43,1903,0.01427
1946,43,1902,0.01237
1946,44,1902,0.00776
1946,44,1901,0.00716
1946,45,1901,0.00463
1946,45,1900,0.00394
1946,46,1900,0.00263
1946,46,1899,0.0014
1946,47,1899,0.00081
1946,47,1898,0.00061
1946,48,1898,0.00028
1946,48,1897,0.00018
1946,49,1897,0.00012
1946,49,1896,0.0004
1946,50,1896,0
1946,50,1895,0
1946,51,1895,0
1946,51,1894,0
1946,52,1894,0
