Year,Age,Cohort,ASFR
1956,13,1943,0
1956,13,1942,0.00002
1956,14,1942,0.00005
1956,14,1941,0.00031
1956,15,1941,0.00063
1956,15,1940,0.00184
1956,16,1940,0.00298
1956,16,1939,0.00833
1956,17,1939,0.01286
1956,17,1938,0.0265
1956,18,1938,0.03566
1956,18,1937,0.05623
1956,19,1937,0.06708
1956,19,1936,0.08578
1956,20,1936,0.09477
1956,20,1935,0.11144
1956,21,1935,0.11892
1956,21,1934,0.13256
1956,22,1934,0.13796
1956,22,1933,0.1461
1956,23,1933,0.14859
1956,23,1932,0.15019
1956,24,1932,0.15065
1956,24,1931,0.15135
1956,25,1931,0.15036
1956,25,1930,0.14592
1956,26,1930,0.14394
1956,26,1929,0.14033
1956,27,1929,0.13817
1956,27,1928,0.13348
1956,28,1928,0.13083
1956,28,1927,0.12502
1956,29,1927,0.12188
1956,29,1926,0.11535
1956,30,1926,0.11146
1956,30,1925,0.10208
1956,31,1925,0.09905
1956,31,1924,0.09576
1956,32,1924,0.0929
1956,32,1923,0.08563
1956,33,1923,0.08218
1956,33,1922,0.07521
1956,34,1922,0.07205
1956,34,1921,0.06628
1956,35,1921,0.06309
1956,35,1920,0.0562
1956,36,1920,0.05344
1956,36,1919,0.0489
1956,37,1919,0.04625
1956,37,1918,0.04044
1956,38,1918,0.03809
1956,38,1917,0.03411
1956,39,1917,0.03182
1956,39,1916,0.02702
1956,40,1916,0.0248
1956,40,1915,0.02058
1956,41,1915,0.01865
1956,41,1914,0.01511
1956,42,1914,0.01339
1956,42,1913,0.01018
1956,43,1913,0.00882
1956,43,1912,0.0065
1956,44,1912,0.00545
1956,44,1911,0.00372
1956,45,1911,0.00285
1956,45,1910,0.00149
1956,46,1910,0.00116
1956,46,1909,0.00076
1956,47,1909,0.0006
1956,47,1908,0.00037
1956,48,1908,0.00029
1956,48,1907,0.00018
1956,49,1907,0.00014
1956,49,1906,0.00008
1956,50,1906,0.00007
1956,50,1905,0.00004
1956,51,1905,0.00003
1956,51,1904,0.00002
1956,52,1904,0.00002
1956,52,1903,0.00001
1956,53,1903,0.00001
1956,53,1902,0
1956,54,1902,0
1956,54,1901,0
1956,55+,.,0
1957,-12,.,0
1957,13,1944,0
1957,13,1943,0.00002
1957,14,1943,0.00006
1957,14,1942,0.00037
1957,15,1942,0.00074
1957,15,1941,0.00191
1957,16,1941,0.00302
1957,16,1940,0.0091
1957,17,1940,0.01423
1957,17,1939,0.02743
1957,18,1939,0.03614
1957,18,1938,0.05646
1957,19,1938,0.06738
1957,19,1937,0.08816
