Year,Age,Cohort,ASFR
1954,13,1941,0.00009
1954,13,1940,0.00021
1954,14,1940,0.00046
1954,14,1939,0.00066
1954,15,1939,0.00164
1954,15,1938,0.00241
1954,16,1938,0.0047
1954,16,1937,0.00637
1954,17,1937,0.01113
1954,17,1936,0.01429
1954,18,1936,0.02219
1954,18,1935,0.02702
1954,19,1935,0.03816
1954,19,1934,0.04463
1954,20,1934,0.05953
1954,20,1933,0.06723
1954,21,1933,0.08165
1954,21,1932,0.08901
1954,22,1932,0.10316
1954,22,1931,0.11017
1954,23,1931,0.12416
1954,23,1930,0.12975
1954,24,1930,0.13741
1954,24,1929,0.14013
1954,25,1929,0.14226
1954,25,1928,0.14399
1954,26,1928,0.14944
1954,26,1927,0.15013
1954,27,1927,0.14772
1954,27,1926,0.14633
1954,28,1926,0.14267
1954,28,1925,0.14065
1954,29,1925,0.13602
1954,29,1924,0.13403
1954,30,1924,0.13101
1954,30,1923,0.12821
1954,31,1923,0.12024
1954,31,1922,0.11699
1954,32,1922,0.11116
1954,32,1921,0.1085
1954,33,1921,0.10377
1954,33,1920,0.10104
1954,34,1920,0.09451
1954,34,1919,0.0922
1954,35,1919,0.08922
1954,35,1918,0.08661
1954,36,1918,0.07985
1954,36,1917,0.07674
1954,37,1917,0.07064
1954,37,1916,0.06786
1954,38,1916,0.06281
1954,38,1915,0.05984
1954,39,1915,0.05325
1954,39,1914,0.05004
1954,40,1914,0.0435
1954,40,1913,0.04068
1954,41,1913,0.03562
1954,41,1912,0.03271
1954,42,1912,0.02658
1954,42,1911,0.02377
1954,43,1911,0.01857
1954,43,1910,0.01617
1954,44,1910,0.01187
1954,44,1909,0.00994
1954,45,1909,0.00667
1954,45,1908,0.00535
1954,46,1908,0.0033
1954,46,1907,0.00252
1954,47,1907,0.00139
1954,47,1906,0.00105
1954,48,1906,0.0006
1954,48,1905,0.00044
1954,49,1905,0.00024
1954,49,1904,0.00017
1954,50,1904,0.00009
1954,50,1903,0.00007
1954,51,1903,0.00004
1954,51,1902,0.00004
1954,52,1902,0.00002
1954,52,1901,0.00002
1954,53,1901,0.00001
1954,53,1900,0.00001
1954,54,1900,0
1954,54,1899,0
1954,55+,.,0
1955,-12,.,0
1955,13,1942,0.00008
1955,13,1941,0.0002
1955,14,1941,0.00048
1955,14,1940,0.0007
1955,15,1940,0.00175
1955,15,1939,0.00256
1955,16,1939,0.00493
1955,16,1938,0.00663
1955,17,1938,0.01148
1955,17,1937,0.01465
1955,18,1937,0.02264
1955,18,1936,0.0275
1955,19,1936,0.03853
1955,19,1935,0.04497
1955,20,1935,0.05983
1955,20,1934,0.06759
1955,21,1934,0.08256
1955,21,1933,0.09034
1955,22,1933,0.10619
1955,22,1932,0.11286
1955,23,1932,0.12175
1955,23,1931,0.12655
1955,24,1931,0.13713
1955,24,1930,0.14093
1955,25,1930,0.14568
1955,25,1929,0.14691
1955,26,1929,0.14639
