Year,Age,Cohort,ASFR
1947,13,1934,0
1947,13,1933,0.00001
1947,14,1933,0.00004
1947,14,1932,0.00008
1947,15,1932,0.0003
1947,15,1931,0.00053
1947,16,1931,0.00145
1947,16,1930,0.00231
1947,17,1930,0.00605
1947,17,1929,0.0092
1947,18,1929,0.01866
1947,18,1928,0.02536
1947,19,1928,0.04196
1947,19,1927,0.05275
1947,20,1927,0.08073
1947,20,1926,0.09621
1947,21,1926,0.12585
1947,21,1925,0.141
1947,22,1925,0.16822
1947,22,1924,0.18279
1947,23,1924,0.21561
1947,23,1923,0.22895
1947,24,1923,0.24647
1947,24,1922,0.25417
1947,25,1922,0.26567
1947,25,1921,0.27089
1947,26,1921,0.28123
1947,26,1920,0.28302
1947,27,1920,0.27927
1947,27,1919,0.27776
1947,28,1919,0.27434
1947,28,1918,0.27286
1947,29,1918,0.27096
1947,29,1917,0.26885
1947,30,1917,0.26267
1947,30,1916,0.25925
1947,31,1916,0.25116
1947,31,1915,0.2475
1947,32,1915,0.24075
1947,32,1914,0.23674
1947,33,1914,0.22751
1947,33,1913,0.22274
1947,34,1913,0.2123
1947,34,1912,0.20757
1947,35,1912,0.19893
1947,35,1911,0.19334
1947,36,1911,0.17983
1947,36,1910,0.17353
1947,37,1910,0.16084
1947,37,1909,0.15489
1947,38,1909,0.1431
1947,38,1908,0.13747
1947,39,1908,0.12698
1947,39,1907,0.11935
1947,40,1907,0.10102
1947,40,1906,0.09284
1947,41,1906,0.07756
1947,41,1905,0.07068
1947,42,1905,0.05865
1947,42,1904,0.05165
1947,43,1904,0.03789
1947,43,1903,0.03245
1947,44,1903,0.02371
1947,44,1902,0.01975
1947,45,1902,0.01321
1947,45,1901,0.01069
1947,46,1901,0.00679
1947,46,1900,0.00552
1947,47,1900,0.00365
1947,47,1899,0.00309
1947,48,1899,0.00231
1947,48,1898,0.00213
1947,49,1898,0.00207
1947,49,1897,0.00194
1947,50,1897,0.00158
1947,50,1896,0.00144
1947,51,1896,0.00117
1947,51,1895,0.00107
1947,52,1895,0.00088
1947,52,1894,0.00081
1947,53,1894,0.00071
1947,53,1893,0.00066
1947,54,1893,0.00052
1947,54,1892,0.00053
1947,55+,.,0.00184
1948,-12,.,0
1948,13,1935,0
1948,13,1934,0.00001
1948,14,1934,0.00004
1948,14,1933,0.00008
1948,15,1933,0.0003
1948,15,1932,0.00055
1948,16,1932,0.00175
1948,16,1931,0.00291
1948,17,1931,0.00714
1948,17,1930,0.01062
1948,18,1930,0.0214
1948,18,1929,0.02907
1948,19,1929,0.049
1948,19,1928,0.06169
1948,20,1928,0.09234
1948,20,1927,0.10904
1948,21,1927,0.14037
1948,21,1926,0.15654
1948,22,1926,0.18752
1948,22,1925,0.20248
1948,23,1925,0.23074
1948,23,1924,0.24231
1948,24,1924,0.25886
1948,24,1923,0.26456
1948,25,1923,0.26944
1948,25,1922,0.27067
1948,26,1922,0.27028
1948,26,1921,0.26963
1948,27,1921,0.26828
1948,27,1920,0.26547
1948,28,1920,0.25537
1948,28,1919,0.25166
1948,29,1919,0.24616
1948,29,1918,0.2433
1948,30,1918,0.23819
1948,30,1917,0.23469
1948,31,1917,0.22577
1948,31,1916,0.22196
1948,32,1916,0.21495
1948,32,1915,0.21153
1948,33,1915,0.20498
1948,33,1914,0.20111
1948,34,1914,0.19192
1948,34,1913,0.18794
1948,35,1913,0.1806
1948,35,1912,0.1766
1948,36,1912,0.168
1948,36,1911,0.16327
1948,37,1911,0.15261
1948,37,1910,0.14757
1948,38,1910,0.13744
1948,38,1909,0.13212
1948,39,1909,0.12076
1948,39,1908,0.11483
1948,40,1908,0.10268
1948,40,1907,0.09519
1948,41,1907,0.07842
1948,41,1906,0.07121
1948,42,1906,0.05844
1948,42,1905,0.05176
1948,43,1905,0.03927
1948,43,1904,0.03319
1948,44,1904,0.02261
1948,44,1903,0.01835
1948,45,1903,0.01167
1948,45,1902,0.00942
1948,46,1902,0.00622
1948,46,1901,0.005
1948,47,1901,0.00316
1948,47,1900,0.00257
1948,48,1900,0.00169
1948,48,1899,0.00148
1948,49,1899,0.00132
1948,49,1898,0.00118
1948,50,1898,0.00087
1948,50,1897,0.00077
1948,51,1897,0.00063
1948,51,1896,0.00059
1948,52,1896,0.00056
1948,52,1895,0.00051
1948,53,1895,0.00037
1948,53,1894,0.00033
1948,54,1894,0.00027
1948,54,1893,0.00026
1948,55+,.,0.00081
1949,-12,.,0
1949,13,1936,0
1949,13,1935,0.00001
1949,14,1935,0.00003
1949,14,1934,0.00007
1949,15,1934,0.00029
1949,15,1933,0.00054
1949,16,1933,0.00171
1949,16,1932,0.00282
1949,17,1932,0.00673
1949,17,1931,0.00986
1949,18,1931,0.01927
1949,18,1930,0.02602
1949,19,1930,0.0447
1949,19,1929,0.05693
1949,20,1929,0.08781
1949,20,1928,0.10487
1949,21,1928,0.13623
1949,21,1927,0.1526
1949,22,1927,0.18395
1949,22,1926,0.19963
1949,23,1926,0.23148
1949,23,1925,0.24368
1949,24,1925,0.25715
1949,24,1924,0.2634
1949,25,1924,0.27437
1949,25,1923,0.27762
1949,26,1923,0.28001
