Year,Age,Cohort,ASFR
1971,13,1958,0
1971,13,1957,0.00001
1971,14,1957,0.00007
1971,14,1956,0.00016
1971,15,1956,0.00068
1971,15,1955,0.00124
1971,16,1955,0.00311
1971,16,1954,0.00477
1971,17,1954,0.01185
1971,17,1953,0.01757
1971,18,1953,0.03414
1971,18,1952,0.04597
1971,19,1952,0.07889
1971,19,1951,0.09732
1971,20,1951,0.12916
1971,20,1950,0.14403
1971,21,1950,0.16794
1971,21,1949,0.17632
1971,22,1949,0.18486
1971,22,1948,0.18652
1971,23,1948,0.18547
1971,23,1947,0.18288
1971,24,1947,0.17483
1971,24,1946,0.16964
1971,25,1946,0.15695
1971,25,1945,0.15201
1971,26,1945,0.1449
1971,26,1944,0.14068
1971,27,1944,0.13223
1971,27,1943,0.12744
1971,28,1943,0.11677
1971,28,1942,0.11245
1971,29,1942,0.10538
1971,29,1941,0.10171
1971,30,1941,0.09458
1971,30,1940,0.09085
1971,31,1940,0.08305
1971,31,1939,0.07959
1971,32,1939,0.07326
1971,32,1938,0.07012
1971,33,1938,0.06383
1971,33,1937,0.06111
1971,34,1937,0.05626
1971,34,1936,0.05392
1971,35,1936,0.04952
1971,35,1935,0.04716
1971,36,1935,0.0421
1971,36,1934,0.04008
1971,37,1934,0.03671
1971,37,1933,0.0349
1971,38,1933,0.03118
1971,38,1932,0.02939
1971,39,1932,0.02578
1971,39,1931,0.02429
1971,40,1931,0.0218
1971,40,1930,0.02004
1971,41,1930,0.0161
1971,41,1929,0.01425
1971,42,1929,0.01085
1971,42,1928,0.00936
1971,43,1928,0.00679
1971,43,1927,0.00576
1971,44,1927,0.00411
1971,44,1926,0.00337
1971,45,1926,0.00213
1971,45,1925,0.00178
1971,46,1925,0.00131
1971,46,1924,0.00108
1971,47,1924,0.0007
1971,47,1923,0.00055
1971,48,1923,0.00033
1971,48,1922,0.00026
1971,49,1922,0.00015
1971,49,1921,0.00011
1971,50,1921,0.00007
1971,50,1920,0.00005
1971,51,1920,0.00003
1971,51,1919,0.00002
1971,52,1919,0.00001
1971,52,1918,0.00001
1971,53,1918,0.00001
1971,53,1917,0
1971,54,1917,0
1971,54,1916,0
1971,55+,.,0
1972,-12,.,0
1972,13,1959,0
1972,13,1958,0.00001
1972,14,1958,0.00006
1972,14,1957,0.00014
1972,15,1957,0.00064
1972,15,1956,0.00119
1972,16,1956,0.00326
1972,16,1955,0.00509
1972,17,1955,0.01173
1972,17,1954,0.01688
1972,18,1954,0.03207
1972,18,1953,0.0427
1972,19,1953,0.07145
1972,19,1952,0.08834
1972,20,1952,0.12289
1972,20,1951,0.13906
1972,21,1951,0.16278
1972,21,1950,0.17202
1972,22,1950,0.18388
1972,22,1949,0.1869
1972,23,1949,0.18821
1972,23,1948,0.186
1972,24,1948,0.17661
1972,24,1947,0.17197
1972,25,1947,0.16321
1972,25,1946,0.15808
1972,26,1946,0.14719
1972,26,1945,0.14096
1972,27,1945,0.1263
1972,27,1944,0.12248
1972,28,1944,0.12199
1972,28,1943,0.11784
1972,29,1943,0.10387
1972,29,1942,0.09906
1972,30,1942,0.09191
1972,30,1941,0.08831
1972,31,1941,0.08125
1972,31,1940,0.07836
1972,32,1940,0.07377
1972,32,1939,0.07079
1972,33,1939,0.06374
1972,33,1938,0.06095
1972,34,1938,0.05642
1972,34,1937,0.05372
1972,35,1937,0.04773
1972,35,1936,0.0454
1972,36,1936,0.04154
1972,36,1935,0.03962
1972,37,1935,0.03581
1972,37,1934,0.03401
1972,38,1934,0.03054
1972,38,1933,0.02871
1972,39,1933,0.02472
1972,39,1932,0.02339
1972,40,1932,0.02163
1972,40,1931,0.01998
1972,41,1931,0.01611
1972,41,1930,0.01419
1972,42,1930,0.01054
1972,42,1929,0.00899
1972,43,1929,0.00637
1972,43,1928,0.00532
1972,44,1928,0.00364
1972,44,1927,0.00297
1972,45,1927,0.00191
1972,45,1926,0.00159
1972,46,1926,0.00116
1972,46,1925,0.00096
1972,47,1925,0.00062
1972,47,1924,0.00049
1972,48,1924,0.0003
1972,48,1923,0.00023
1972,49,1923,0.00014
1972,49,1922,0.0001
1972,50,1922,0.00006
1972,50,1921,0.00005
1972,51,1921,0.00003
1972,51,1920,0.00002
1972,52,1920,0.00001
1972,52,1919,0.00001
1972,53,1919,0.00001
1972,53,1918,0
1972,54,1918,0
1972,54,1917,0
1972,55+,.,0
1973,-12,.,0
1973,13,1960,0
1973,13,1959,0.00001
1973,14,1959,0.00006
1973,14,1958,0.00014
1973,15,1958,0.00062
1973,15,1957,0.00116
1973,16,1957,0.00319
1973,16,1956,0.00502
1973,17,1956,0.01216
1973,17,1955,0.01773
1973,18,1955,0.03307
1973,18,1954,0.04383
1973,19,1954,0.07465
1973,19,1953,0.09176
1973,20,1953,0.12051
1973,20,1952,0.13513
1973,21,1952,0.16373
1973,21,1951,0.17418
1973,22,1951,0.18512
1973,22,1950,0.18766
1973,23,1950,0.18674
1973,23,1949,0.18485
1973,24,1949,0.17942
1973,24,1948,0.17513
1973,25,1948,0.16429
1973,25,1947,0.15895
1973,26,1947,0.14868
1973,26,1946,0.14317
1973,27,1946,0.13153
1973,27,1945,0.12611
1973,28,1945,0.11535
1973,28,1944,0.11181
1973,29,1944,0.10879
1973,29,1943,0.10486
1973,30,1943,0.09356
1973,30,1942,0.08921
1973,31,1942,0.08206
1973,31,1941,0.07845
1973,32,1941,0.07105
1973,32,1940,0.06844
1973,33,1940,0.06496
1973,33,1939,0.06254
1973,34,1939,0.05694
1973,34,1938,0.05413
1973,35,1938,0.04822
1973,35,1937,0.04585
1973,36,1937,0.04189
1973,36,1936,0.03981
1973,37,1936,0.03553
1973,37,1935,0.03364
1973,38,1935,0.03022
1973,38,1934,0.02837
1973,39,1934,0.0243
1973,39,1933,0.02294
1973,40,1933,0.0212
1973,40,1932,0.01955
1973,41,1932,0.01563
1973,41,1931,0.01376
1973,42,1931,0.01032
1973,42,1930,0.00882
1973,43,1930,0.00626
1973,43,1929,0.00524
1973,44,1929,0.00363
1973,44,1928,0.003
1973,45,1928,0.00199
1973,45,1927,0.00167
1973,46,1927,0.00122
1973,46,1926,0.00101
1973,47,1926,0.00066
1973,47,1925,0.00052
1973,48,1925,0.00032
1973,48,1924,0.00025
1973,49,1924,0.00015
1973,49,1923,0.00011
1973,50,1923,0.00006
1973,50,1922,0.00005
1973,51,1922,0.00003
1973,51,1921,0.00002
1973,52,1921,0.00001
1973,52,1920,0.00001
1973,53,1920,0.00001
1973,53,1919,0
1973,54,1919,0
1973,54,1918,0
1973,55+,.,0
1974,-12,.,0
1974,13,1961,0
1974,13,1960,0.00001
1974,14,1960,0.00007
1974,14,1959,0.00016
1974,15,1959,0.0007
1974,15,1958,0.00129
1974,16,1958,0.0035
1974,16,1957,0.00544
1974,17,1957,0.01273
1974,17,1956,0.01842
1974,18,1956,0.03498
1974,18,1955,0.04646
1974,19,1955,0.07736
1974,19,1954,0.09446
1974,20,1954,0.12475
1974,20,1953,0.13893
1974,21,1953,0.16115
1974,21,1952,0.17064
1974,22,1952,0.18725
1974,22,1951,0.19094
1974,23,1951,0.18896
1974,23,1950,0.18667
1974,24,1950,0.17986
1974,24,1949,0.17552
1974,25,1949,0.16594
1974,25,1948,0.16071
1974,26,1948,0.14987
1974,26,1947,0.14455
1974,27,1947,0.1344
1974,27,1946,0.12895
