Year,Age,Cohort,ASFR
1976,13,1963,0.0001
1976,13,1962,0.00031
1976,14,1962,0.00202
1976,14,1961,0.00374
1976,15,1961,0.00677
1976,15,1960,0.00849
1976,16,1960,0.01278
1976,16,1959,0.01591
1976,17,1959,0.02866
1976,17,1958,0.03605
1976,18,1958,0.04923
1976,18,1957,0.05782
1976,19,1957,0.08059
1976,19,1956,0.09334
1976,20,1956,0.12056
1976,20,1955,0.13578
1976,21,1955,0.16997
1976,21,1954,0.18622
1976,22,1954,0.21282
1976,22,1953,0.22713
1976,23,1953,0.25756
1976,23,1952,0.26978
1976,24,1952,0.28725
1976,24,1951,0.29145
1976,25,1951,0.28949
1976,25,1950,0.2854
1976,26,1950,0.27031
1976,26,1949,0.26291
1976,27,1949,0.24949
1976,27,1948,0.23807
1976,28,1948,0.20849
1976,28,1947,0.19578
1976,29,1947,0.17368
1976,29,1946,0.16054
1976,30,1946,0.13151
1976,30,1945,0.12269
1976,31,1945,0.11351
1976,31,1944,0.10628
1976,32,1944,0.08973
1976,32,1943,0.08287
1976,33,1943,0.07064
1976,33,1942,0.06529
1976,34,1942,0.05569
1976,34,1941,0.0517
1976,35,1941,0.04509
1976,35,1940,0.04157
1976,36,1940,0.03449
1976,36,1939,0.03165
1976,37,1939,0.02679
1976,37,1938,0.02466
1976,38,1938,0.02089
1976,38,1937,0.01931
1976,39,1937,0.01654
1976,39,1936,0.01541
1976,40,1936,0.01361
1976,40,1935,0.01242
1976,41,1935,0.00979
1976,41,1934,0.00884
1976,42,1934,0.00742
1976,42,1933,0.00651
1976,43,1933,0.00462
1976,43,1932,0.0041
1976,44,1932,0.00355
1976,44,1931,0.00303
1976,45,1931,0.00196
1976,45,1930,0.00162
1976,46,1930,0.00111
1976,46,1929,0.00091
1976,47,1929,0.00061
1976,47,1928,0.00051
1976,48,1928,0.00036
1976,48,1927,0.00034
1976,49,1927,0.00033
1976,49,1926,0.0004
1976,50,1926,0.0011
1976,50,1925,0.00125
1976,51,1925,0.00105
1976,51,1924,0.00081
1976,52,1924,0.00035
1976,52,1923,0.00022
1976,53,1923,0.00008
1976,53,1922,0.00005
1976,54,1922,0.00002
1976,54,1921,0.00001
1976,55+,.,0
1977,-12,.,0
1977,13,1964,0.00007
1977,13,1963,0.0002
1977,14,1963,0.00124
1977,14,1962,0.00225
1977,15,1962,0.00389
1977,15,1961,0.00514
1977,16,1961,0.01122
1977,16,1960,0.01554
1977,17,1960,0.02697
1977,17,1959,0.03414
1977,18,1959,0.04974
1977,18,1958,0.05862
1977,19,1958,0.07754
1977,19,1957,0.08831
1977,20,1957,0.11291
1977,20,1956,0.12629
1977,21,1956,0.15507
1977,21,1955,0.16987
1977,22,1955,0.20006
1977,22,1954,0.21352
1977,23,1954,0.23506
1977,23,1953,0.24304
1977,24,1953,0.25113
1977,24,1952,0.25364
1977,25,1952,0.25576
1977,25,1951,0.25278
1977,26,1951,0.24019
1977,26,1950,0.2306
1977,27,1950,0.20521
1977,27,1949,0.19495
1977,28,1949,0.17886
1977,28,1948,0.1676
1977,29,1948,0.14134
1977,29,1947,0.13114
1977,30,1947,0.1148
1977,30,1946,0.10557
1977,31,1946,0.0858
1977,31,1945,0.08019
1977,32,1945,0.0757
1977,32,1944,0.07024
1977,33,1944,0.05599
1977,33,1943,0.05156
1977,34,1943,0.04554
1977,34,1942,0.0423
1977,35,1942,0.03594
1977,35,1941,0.03328
1977,36,1941,0.02875
1977,36,1940,0.02653
1977,37,1940,0.02225
1977,37,1939,0.02052
1977,38,1939,0.01752
1977,38,1938,0.01626
1977,39,1938,0.01417
1977,39,1937,0.01303
1977,40,1937,0.01077
1977,40,1936,0.00973
1977,41,1936,0.00771
1977,41,1935,0.00705
1977,42,1935,0.00619
1977,42,1934,0.00556
1977,43,1934,0.00422
1977,43,1933,0.00363
1977,44,1933,0.00265
1977,44,1932,0.00216
1977,45,1932,0.0013
1977,45,1931,0.00107
1977,46,1931,0.00077
1977,46,1930,0.00064
1977,47,1930,0.0004
1977,47,1929,0.00034
1977,48,1929,0.00028
1977,48,1928,0.00025
1977,49,1928,0.00017
1977,49,1927,0.0002
1977,50,1927,0.0005
1977,50,1926,0.00057
1977,51,1926,0.0005
1977,51,1925,0.0004
1977,52,1925,0.00019
1977,52,1924,0.00013
1977,53,1924,0.00005
1977,53,1923,0.00003
