Chile, Death rates (period 1x1), 	Last modified: 20 Jul 2020;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1992           0             0.013842        0.016239        0.015067
  1992           1             0.001104        0.001563        0.001339
  1992           2             0.000672        0.000927        0.000802
  1992           3             0.000361        0.000738        0.000553
  1992           4             0.000300        0.000313        0.000307
  1992           5             0.000219        0.000259        0.000239
  1992           6             0.000289        0.000241        0.000264
  1992           7             0.000223        0.000335        0.000280
  1992           8             0.000244        0.000334        0.000290
  1992           9             0.000205        0.000279        0.000243
  1992          10             0.000179        0.000280        0.000230
  1992          11             0.000187        0.000384        0.000287
  1992          12             0.000208        0.000298        0.000254
  1992          13             0.000213        0.000383        0.000299
  1992          14             0.000276        0.000487        0.000383
  1992          15             0.000332        0.000525        0.000430
  1992          16             0.000432        0.000774        0.000606
  1992          17             0.000400        0.000855        0.000631
  1992          18             0.000353        0.000996        0.000679
  1992          19             0.000421        0.001212        0.000818
  1992          20             0.000446        0.001346        0.000893
  1992          21             0.000432        0.001671        0.001048
  1992          22             0.000596        0.001632        0.001112
  1992          23             0.000469        0.001579        0.001020
  1992          24             0.000396        0.001543        0.000962
  1992          25             0.000505        0.001791        0.001137
  1992          26             0.000562        0.001688        0.001114
  1992          27             0.000457        0.001612        0.001023
  1992          28             0.000634        0.001700        0.001158
  1992          29             0.000510        0.001658        0.001074
  1992          30             0.000510        0.001892        0.001187
  1992          31             0.000646        0.001909        0.001264
  1992          32             0.000542        0.002004        0.001257
  1992          33             0.000637        0.001872        0.001243
  1992          34             0.000840        0.002084        0.001452
  1992          35             0.000949        0.002457        0.001685
  1992          36             0.000916        0.002088        0.001485
  1992          37             0.000944        0.002370        0.001635
  1992          38             0.001362        0.002418        0.001875
  1992          39             0.001246        0.002431        0.001824
  1992          40             0.001126        0.002744        0.001912
  1992          41             0.001739        0.003165        0.002434
  1992          42             0.001619        0.003455        0.002519
  1992          43             0.001872        0.003313        0.002573
  1992          44             0.002112        0.003690        0.002875
  1992          45             0.002287        0.004694        0.003445
  1992          46             0.002511        0.004678        0.003562
  1992          47             0.002417        0.004208        0.003291
  1992          48             0.002611        0.004812        0.003682
  1992          49             0.003423        0.005637        0.004496
  1992          50             0.003302        0.006842        0.005000
  1992          51             0.004067        0.006720        0.005350
  1992          52             0.004413        0.006924        0.005637
  1992          53             0.004483        0.006657        0.005529
  1992          54             0.004757        0.008717        0.006633
  1992          55             0.005357        0.010410        0.007734
  1992          56             0.006289        0.010255        0.008171
  1992          57             0.006787        0.010537        0.008581
  1992          58             0.007148        0.012874        0.009873
  1992          59             0.007686        0.013768        0.010535
  1992          60             0.007231        0.015779        0.011133
  1992          61             0.009435        0.018518        0.013640
  1992          62             0.011143        0.019378        0.015005
  1992          63             0.011411        0.019650        0.015217
  1992          64             0.012872        0.022258        0.017226
  1992          65             0.013378        0.021276        0.017055
  1992          66             0.015412        0.023837        0.019295
  1992          67             0.017265        0.029936        0.023077
  1992          68             0.019284        0.032356        0.025227
  1992          69             0.023081        0.036284        0.028997
  1992          70             0.023692        0.040783        0.031257
  1992          71             0.027043        0.044224        0.034680
  1992          72             0.028678        0.045274        0.036030
  1992          73             0.030277        0.048419        0.038100
  1992          74             0.035492        0.055732        0.044073
  1992          75             0.040228        0.060275        0.048626
  1992          76             0.042422        0.068460        0.053254
  1992          77             0.050510        0.071009        0.059031
  1992          78             0.054455        0.079061        0.064556
  1992          79             0.056734        0.087847        0.069193
  1992          80             0.060404        0.088025        0.071009
  1992          81             0.069785        0.100506        0.081557
  1992          82             0.080042        0.111577        0.091871
  1992          83             0.085451        0.120131        0.098213
  1992          84             0.095095        0.137362        0.110419
